[07/20/23 13:28:04] [INFO] received Windows console close event; shutting log-core down
[07/20/23 19:21:28] [INFO] received Windows console close event; shutting log-core down
[07/20/23 19:25:24] [INFO] received Windows console close event; shutting log-core down
[07/20/23 19:27:51] [INFO] received Windows console close event; shutting log-core down
[07/21/23 18:24:58] [INFO] received Windows console close event; shutting log-core down
[07/21/23 18:48:22] [INFO] received Windows console close event; shutting log-core down
[07/21/23 19:01:38] [INFO] received Windows console close event; shutting log-core down
[07/21/23 19:08:05] [INFO] received Windows console close event; shutting log-core down
[07/21/23 19:19:54] [INFO] received Windows console close event; shutting log-core down
[07/23/23 17:53:40] [INFO] received Windows console close event; shutting log-core down
[07/23/23 19:17:09] [INFO] received Windows console close event; shutting log-core down
[07/23/23 19:29:45] [INFO] received Windows console close event; shutting log-core down
[07/23/23 19:34:20] [INFO] received Windows console close event; shutting log-core down
[07/26/23 08:03:59] [INFO] received Windows console close event; shutting log-core down
[07/26/23 08:12:00] [INFO] received Windows console close event; shutting log-core down
[07/26/23 08:22:21] [INFO] received Windows console close event; shutting log-core down
[07/26/23 08:28:57] [INFO] received Windows console close event; shutting log-core down
[07/26/23 09:28:49] [INFO] received Windows console close event; shutting log-core down
[07/26/23 16:45:50] [INFO] received Windows console close event; shutting log-core down
[07/26/23 16:52:46] [INFO] received Windows console close event; shutting log-core down
[07/26/23 17:14:53] [INFO] received Windows console close event; shutting log-core down
[07/26/23 18:34:59] [INFO] received Windows console close event; shutting log-core down
[07/26/23 18:43:43] [INFO] received Windows console close event; shutting log-core down
[07/27/23 08:02:33] [INFO] received Windows console close event; shutting log-core down
[07/27/23 08:12:55] [INFO] received Windows console close event; shutting log-core down
[07/27/23 08:18:29] [INFO] received Windows console close event; shutting log-core down
[07/27/23 08:35:45] [INFO] received Windows console close event; shutting log-core down
[07/27/23 09:32:10] [INFO] received Windows console close event; shutting log-core down
[07/27/23 09:39:20] [INFO] received Windows console close event; shutting log-core down
[07/29/23 07:53:55] [INFO] received Windows console close event; shutting log-core down
[07/31/23 08:14:15] [INFO] received Windows console close event; shutting log-core down
[07/31/23 08:26:48] [INFO] received Windows console close event; shutting log-core down
[08/02/23 18:04:20] [INFO] received Windows console close event; shutting log-core down
[08/02/23 18:23:16] [INFO] received Windows console close event; shutting log-core down
[08/02/23 18:31:57] [INFO] received Windows console close event; shutting log-core down
[08/02/23 18:36:40] [INFO] received Windows console close event; shutting log-core down
[08/03/23 20:15:59] [INFO] received Windows console close event; shutting log-core down
[08/03/23 20:38:20] [INFO] received Windows console close event; shutting log-core down
[08/07/23 11:07:49] [INFO] received Windows console close event; shutting log-core down
[08/07/23 11:51:27] [INFO] received Windows console close event; shutting log-core down
[08/07/23 11:57:30] [INFO] received Windows console close event; shutting log-core down
[08/07/23 12:03:03] [INFO] received Windows console close event; shutting log-core down
[08/07/23 12:52:13] [INFO] received Windows console close event; shutting log-core down
[08/08/23 14:07:35] [INFO] received Windows console close event; shutting log-core down
[08/08/23 20:58:37] [INFO] received Windows console close event; shutting log-core down
[08/08/23 21:19:58] [INFO] received Windows console close event; shutting log-core down
[08/08/23 21:24:08] [INFO] received Windows console close event; shutting log-core down
[08/08/23 21:25:06] [INFO] received Windows console close event; shutting log-core down
[08/09/23 09:26:45] [INFO] received Windows console close event; shutting log-core down
[08/09/23 09:38:55] [INFO] received Windows console close event; shutting log-core down
[08/09/23 10:22:33] [INFO] received Windows console close event; shutting log-core down
[08/09/23 10:26:13] [INFO] received Windows console close event; shutting log-core down
[08/09/23 10:48:55] [INFO] received Windows console close event; shutting log-core down
[08/09/23 11:02:37] [INFO] received Windows console close event; shutting log-core down
[08/09/23 11:02:38] [INFO] received Windows console close event; shutting log-core down
